date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,23.4,17.7,28,0,,,8.2,,1015.3,
2024-01-02 00:00:00,24.1,19.7,29,0,,,11,,1014.8,
2024-01-03 00:00:00,22.7,18.7,27,0,,,9.1,,1014.3,
2024-01-04 00:00:00,21.7,19.6,25,25.6,,,9.3,,1014.8,
2024-01-05 00:00:00,22.8,19.8,26,1.5,,,7.5,,1014.3,
2024-01-06 00:00:00,24.5,19.9,31,0.6,,,10.4,,1014.1,
2024-01-07 00:00:00,23.7,19.4,28,0.2,,,11.1,,1014.8,
2024-01-08 00:00:00,22.9,19.8,27,3.1,,,15.2,,1015.7,
2024-01-09 00:00:00,22.2,20,25,1.4,,,13.6,,1015.8,
2024-01-10 00:00:00,22.6,17.4,27,0,,,13.6,,1015.7,
2024-01-11 00:00:00,23.6,18.2,31,0,,,13.4,,1015.6,
2024-01-12 00:00:00,22.9,16.4,30,0,,,16.3,,1016,
2024-01-13 00:00:00,22.7,16.5,30,0,,,11.4,,1016.3,
2024-01-14 00:00:00,23.4,16.8,30,0,,,10,,1015.6,
2024-01-15 00:00:00,23.3,16.6,30,0,,,7.4,,1015.1,
2024-01-16 00:00:00,22.9,16.1,30,0,,,8.3,,1014.1,
2024-01-17 00:00:00,23.4,17.2,31,0,,,7.5,,1013.3,
2024-01-18 00:00:00,23.4,17.3,30,0,,,7.8,,1014,
2024-01-19 00:00:00,24,16.8,31,0,,,8,,1014.1,
2024-01-20 00:00:00,23.6,18.1,30,0,,,8.5,,1015.4,
2024-01-21 00:00:00,24,17,31,0,,,8.1,,1015.7,
2024-01-22 00:00:00,24.6,18.2,32,0,,,7.8,,1016.2,
2024-01-23 00:00:00,24,17.6,31,0,,,7.2,,1016,
2024-01-24 00:00:00,24.7,18.3,32,0,,,8.5,,1015.5,
2024-01-25 00:00:00,24.1,18,30,0,,,8.1,,1016.1,
2024-01-26 00:00:00,23.8,17.9,30,0,,,12,,1017.9,
2024-01-27 00:00:00,23.4,17.5,29,0,,,12,,1018.1,
2024-01-28 00:00:00,23.5,16.9,30,0,,,13.5,,1017.9,
2024-01-29 00:00:00,23.6,17.1,29,0,,,9.6,,1017.1,
2024-01-30 00:00:00,24.1,16.8,31,0,,,8.3,,1016.3,
2024-01-31 00:00:00,24.6,16.2,33,0,,,8.8,,1016.3,
2024-02-01 00:00:00,24.5,16.6,32,0,,,7.9,,1016.4,
2024-02-02 00:00:00,24.7,17.3,32,0,,,6.9,,1015.9,
2024-02-03 00:00:00,25,18.3,31,0,,,8.6,,1016.1,
2024-02-04 00:00:00,25.1,18.6,31,0,,,11.8,,1018,
2024-02-05 00:00:00,24.9,17.6,32,0,,,11.1,,1017.7,
2024-02-06 00:00:00,25.3,17.4,34,0,,,11.9,,1017.5,
2024-02-07 00:00:00,25.5,16.9,34,0,,,10.1,,1017.7,
2024-02-08 00:00:00,25.5,16.8,34,0,,,10.3,,1016.4,
2024-02-09 00:00:00,26,17.7,33,0,,,11.2,,1016.4,
2024-02-10 00:00:00,24.6,17.8,32,0,,,11.9,,1018.3,
2024-02-11 00:00:00,25,17.9,32,0,,,13.2,,1018.4,
2024-02-12 00:00:00,24.8,16.8,32,0,,,12.9,,1017.6,
2024-02-13 00:00:00,24.9,17.3,32,0,,,11.2,,1016.7,
2024-02-14 00:00:00,25.6,18.9,32,0,,,13,,1016.4,
2024-02-15 00:00:00,25.7,19.1,32,0,,,13.1,,1016,
2024-02-16 00:00:00,25.2,18.2,32,0,,,14.3,,1016.5,
2024-02-17 00:00:00,25.8,18.6,33,0,,,13,,1015.4,
2024-02-18 00:00:00,25.7,18.7,33,0,,,9.2,,1014.6,
2024-02-19 00:00:00,26.2,18.9,33,0,,,9.6,,1014.8,
2024-02-20 00:00:00,26.8,20.4,33,0,,,8.8,,1014.7,
2024-02-21 00:00:00,26.8,20.5,33,0,,,9.1,,1014,
2024-02-22 00:00:00,26.8,20.9,34,0,,,8.7,,1014.5,
2024-02-23 00:00:00,26.8,18.9,34,0,,,8.3,,1013.9,
2024-02-24 00:00:00,26.2,19.1,34,0,,,8.8,,1013.5,
2024-02-25 00:00:00,26.8,21.4,33,0.5,,,11.2,,1012.7,
2024-02-26 00:00:00,26.6,19.5,34.1,0,,,14.7,,1013.6,
2024-02-27 00:00:00,26.1,19.2,33,0,,,14.9,,1014.3,
2024-02-28 00:00:00,26.7,19.1,34,0,,,11.8,,1013.8,
2024-02-29 00:00:00,26.5,18.4,34,0,,,11.7,,1014.4,
2024-03-01 00:00:00,26.4,18.7,34,0,,,12.9,,1015.1,
2024-03-02 00:00:00,26.4,17.5,34,0,,,9.6,,1015.2,
2024-03-03 00:00:00,26,19.1,33,0,,,8.1,,1014.5,
2024-03-04 00:00:00,27.1,19.1,35,0,,,7.3,,1013.9,
2024-03-05 00:00:00,27.9,19.9,36,0,,,8.5,,1013.9,
2024-03-06 00:00:00,27.7,20.6,35,0,,,8.2,,1013.8,
2024-03-07 00:00:00,28,20.5,35.3,0,,,7.4,,1012.4,
2024-03-08 00:00:00,28.1,20.1,35.9,0,,,9.2,,1011.9,
2024-03-09 00:00:00,28,20.5,35.2,0,,,9.4,,1012.6,
2024-03-10 00:00:00,28.2,21.1,35.5,0,,,8.5,,1014,
2024-03-11 00:00:00,28.9,22.5,35.9,0,,,10.2,,1014.6,
2024-03-12 00:00:00,28.5,21.2,36.3,0,,,9.5,,1014.9,
2024-03-13 00:00:00,27.9,21.1,35.7,0,,,9.5,,1013.6,
2024-03-14 00:00:00,27.8,20.9,35,0,,,9.2,,1014.9,
2024-03-15 00:00:00,28.7,21.5,35.8,0,,,7.8,,1011.9,
2024-03-16 00:00:00,28.7,22.1,35,0,,,8,,1013.2,
2024-03-17 00:00:00,28.3,23,35.4,0,,,10.9,,1013.8,
2024-03-18 00:00:00,27.6,20.8,35,0,,,7.9,,1014,
2024-03-19 00:00:00,27.8,20.3,35,0,,,7.1,,1013.4,
2024-03-20 00:00:00,28,20.7,35,0,,,7.9,,1012.8,
2024-03-21 00:00:00,27.5,21.5,33.2,0,,,10.9,,1012.8,
2024-03-22 00:00:00,27.6,21.4,34,0,,,10,,1012.1,
2024-03-23 00:00:00,28.4,21.5,34,0,,,10.6,,1011.7,
2024-03-24 00:00:00,28.1,20.5,35,0,,,10.8,,1013.2,
2024-03-25 00:00:00,28.1,19.7,36,0,,,9.7,,1013.3,
2024-03-26 00:00:00,29.5,20.9,36.1,0,,,9.4,,1013.1,
2024-03-27 00:00:00,28,20,36,0,,,9.4,,1015.1,
2024-03-28 00:00:00,28.1,21.2,36,0,,,9.3,,1014.5,
2024-03-29 00:00:00,28.6,21.4,36,0,,,10.4,,1013.5,
2024-03-30 00:00:00,28.4,21.1,36,0,,,8.6,,1014.6,
2024-03-31 00:00:00,28.1,20.8,36,0,,,8.3,,1014.7,
2024-04-01 00:00:00,28.2,20.9,36,0,,,8.6,,1013,
2024-04-02 00:00:00,29.2,22,37,0,,,9.4,,1011.5,
2024-04-03 00:00:00,29.1,22.1,37,0,,,10.5,,1012.2,
2024-04-04 00:00:00,29.1,22,37,0,,,8.8,,1012.5,
2024-04-05 00:00:00,29.3,21.9,37,0,,,9.2,,1012.1,
2024-04-06 00:00:00,29.4,21.5,38,0,,,11,,1010.9,
2024-04-07 00:00:00,29.1,22.6,37,0,,,11.2,,1010.7,
2024-04-08 00:00:00,29.2,21.5,37,0,,,8.6,,1011.5,
2024-04-09 00:00:00,29.7,22.8,36,0,,,10.7,,1012,
2024-04-10 00:00:00,29.1,21.8,36,0,,,10.2,,1012.1,
2024-04-11 00:00:00,29.1,22.5,36,0,,,8.6,,1012.2,
2024-04-12 00:00:00,28.5,22.8,35,5.7,,,10.3,,1012.5,
2024-04-13 00:00:00,28.2,21.9,35,0.5,,,8.4,,1013.3,
2024-04-14 00:00:00,29.1,23.4,36,0,,,7.9,,1013.6,
2024-04-15 00:00:00,29.7,22.8,36,0,,,11.8,,1013.6,
2024-04-16 00:00:00,29.8,22.3,38,0,,,11.4,,1010.8,
2024-04-17 00:00:00,29.8,22.4,38.5,0,,,11.4,,1010.1,
2024-04-18 00:00:00,30,22.7,39.1,0,,,11.4,,1009.4,
2024-04-19 00:00:00,29.5,23.9,37.6,0,,,11.2,,1009.4,
2024-04-20 00:00:00,27.8,23.9,33,0,,,10.2,,1010.6,
2024-04-21 00:00:00,29.4,22.5,37,0,,,11.2,,1010.6,
2024-04-22 00:00:00,29.3,23.3,37,0,,,10.6,,1011.5,
2024-04-23 00:00:00,29.6,22.9,37,0,,,8.8,,1010.1,
2024-04-24 00:00:00,29.1,22.4,36,0,,,11.2,,1010.1,
2024-04-25 00:00:00,29.6,22,37,0,,,12.1,,1010.7,
2024-04-26 00:00:00,30.1,22.9,38,0,,,12,,1010,
2024-04-27 00:00:00,29.8,22.1,38,0,,,10.6,,1010,
2024-04-28 00:00:00,30,22.3,38,0,,,12.4,,1010.2,
2024-04-29 00:00:00,30.3,23.4,37,0,,,10.2,,1011.5,
2024-04-30 00:00:00,30.3,23.1,38.2,0,,,11.2,,1010.9,
2024-05-01 00:00:00,29.9,23.9,39.2,0,,,13.6,,1009,
2024-05-02 00:00:00,30.5,24.1,39,0,,,11.6,,1009.1,
2024-05-03 00:00:00,28.6,21.4,37,10.4,,,11.1,,1010.1,
2024-05-04 00:00:00,29,24.1,36,0.7,,,13,,1010.9,
2024-05-05 00:00:00,29,23.2,36,0,,,13.7,,1009.5,
2024-05-06 00:00:00,28.5,22.5,36,0,,,12.4,,1010.4,
2024-05-07 00:00:00,28.2,23.4,35,6.7,,,10,,1012,
2024-05-08 00:00:00,27.6,22.7,34,14,,,8.2,,1011.1,
2024-05-09 00:00:00,28.1,23.6,34,1.7,,,8.1,,1010.3,
2024-05-10 00:00:00,26.6,22.6,32,0.8,,,7.3,,1011.7,
2024-05-11 00:00:00,27.4,23.5,33,0.4,,,8.7,,1011.7,
2024-05-12 00:00:00,27,23.7,35,1.2,,,6.6,,1011.7,
2024-05-13 00:00:00,26.6,22,34,10.9,,,9.9,,1011.1,
2024-05-14 00:00:00,25.8,22,32,15.4,,,5.7,,1012,
